,origin,predict
1998/6/16,1348.588013,1419.246490654218
1998/6/17,1348.942017,1415.1989714129427
1998/6/18,1370.685059,1412.0494792974634
1998/6/19,1392.878052,1412.3731612209453
1998/6/22,1399.355957,1415.2195256503944
1998/6/23,1397.956055,1417.8630731290757
1998/6/24,1401.741943,1419.501469187322
1998/6/25,1382.036011,1421.2840477325926
1998/6/26,1385.618042,1420.0344409429792
1998/6/29,1361.432007,1419.8498691900968
1998/6/30,1339.202026,1416.539804191983
1998/7/1,1316.44104,1411.2281425677584
1998/7/2,1331.650024,1404.2513984443965
1998/7/3,1335.125,1401.0643560461324
1998/7/6,1315.282959,1398.7574741068556
1998/7/7,1324.400024,1393.8964158760502
1998/7/8,1338.984009,1391.2060819563185
1998/7/9,1343.232056,1390.7432520091295
1998/7/10,1360.619019,1390.5142785609783
1998/7/13,1358.8129880000001,1392.3819130391294
1998/7/14,1336.557983,1393.2495062663784
1998/7/15,1335.465942,1390.797003421987
1998/7/16,1325.633057,1388.946781373353
1998/7/17,1314.714966,1386.257204515774
1998/7/20,1287.072998,1382.7830084429065
1998/7/21,1313.01001,1376.4006716689116
1998/7/22,1299.147949,1375.151821941451
1998/7/23,1316.2709960000002,1371.9502060967434
1998/7/24,1326.821045,1371.6515829305233
1998/7/27,1321.899048,1372.4992275700426
1998/7/28,1317.946045,1372.1710411267509
1998/7/29,1311.939941,1371.270402136527
1998/7/30,1315.302002,1369.7339444971715
1998/7/31,1316.918945,1369.0322992938432
1998/8/3,1302.102051,1368.6677360141036
1998/8/4,1293.4570310000001,1366.325877803362
1998/8/5,1307.439941,1363.438102074148
1998/8/6,1294.161987,1363.167679473124
1998/8/7,1271.06897,1360.9792020545644
1998/8/10,1234.581055,1356.1464958013858
1998/8/11,1207.6719970000001,1347.5728426257579
1998/8/12,1190.553955,1337.5087233365641
1998/8/13,1204.180054,1327.465082578607
1998/8/14,1168.026001,1321.3597169932586
1998/8/17,1070.410034,1311.1228361207684
1998/8/18,1071.300049,1289.7112257807476
1998/8/19,1126.081055,1273.642884409836
1998/8/20,1149.906982,1268.0623143088933
1998/8/21,1177.623047,1265.5198346276272
1998/8/24,1178.553955,1265.9738826538423
1998/8/25,1179.06604,1265.320689428301
1998/8/26,1160.287964,1264.2671995894023
1998/8/27,1145.215942,1260.618197865425
1998/8/28,1129.722046,1255.8301961323766
1998/8/31,1150.2230220000001,1250.2019121892458
1998/9/1,1143.125,1248.7653867540762
1998/9/2,1136.890015,1246.4798728940657
1998/9/3,1147.1970210000002,1243.8120237202756
1998/9/4,1163.5269779999999,1243.114163827712
1998/9/7,1178.375,1244.6017152519887
1998/9/8,1167.597046,1247.500998325927
1998/9/9,1190.682983,1248.0974875962143
1998/9/10,1213.67395,1251.7736299983737
1998/9/11,1218.005005,1257.6172791974568
1998/9/14,1239.60498,1262.623541949193
1998/9/15,1230.125977,1269.5422194054254
1998/9/16,1252.137939,1273.725971981119
1998/9/17,1233.7030029999999,1280.3534076271226
1998/9/18,1207.000977,1283.240918384583
1998/9/21,1222.3790279999998,1282.4473279827826
1998/9/22,1222.634033,1284.5996935366477
1998/9/23,1229.862061,1286.5467816877483
1998/9/24,1199.061035,1289.2250783192485
1998/9/25,1221.5780029999999,1287.2317336706046
1998/9/28,1230.2110599999999,1289.1121624991401
1998/9/29,1231.746948,1291.651992462871
1998/9/30,1242.8959960000002,1293.726002083909
1998/10/5,1234.779053,1296.8136043683867
1998/10/6,1217.4570310000001,1298.0413320617806
1998/10/7,1213.785034,1296.7780981534147
1998/10/8,1228.709961,1295.5671772398157
1998/10/9,1236.932007,1296.7789309217828
1998/10/12,1247.1459960000002,1298.7122405417
1998/10/13,1244.067993,1301.465259207694
1998/10/14,1240.594971,1303.0661806893709
1998/10/15,1241.813965,1303.8836185489886
1998/10/16,1251.525024,1304.7956891777214
1998/10/19,1246.235962,1306.901268290536
1998/10/20,1243.64502,1307.8145502187137
1998/10/21,1207.824951,1308.2891524823808
1998/10/22,1216.0939939999998,1303.9412309788258
1998/10/23,1217.428955,1302.1028948059927
1998/10/26,1208.265991,1300.8698676775284
1998/10/27,1216.787964,1298.587438845791
1998/10/28,1225.928955,1297.9302331908393
1998/10/29,1216.76001,1298.4496913870667
1998/10/30,1217.31604,1297.3660704744816
1998/11/2,1223.4780269999999,1296.543598151547
1998/11/3,1236.871948,1296.6577631242076
1998/11/4,1235.803955,1298.4230806523915
1998/11/5,1253.275024,1299.4549563668245
1998/11/6,1259.765015,1302.5778377476283
1998/11/9,1283.1209720000002,1305.7451586768088
1998/11/10,1286.55896,1311.3458666310191
1998/11/11,1286.198975,1316.0707672336216
1998/11/12,1282.9880369999998,1319.829050879373
1998/11/13,1282.508057,1322.5935390369837
1998/11/16,1293.743042,1325.031581994254
1998/11/17,1290.594971,1328.7786611201423
1998/11/18,1285.503052,1331.454156621677
1998/11/19,1275.607056,1333.113447595344
1998/11/20,1275.374023,1333.3544961848345
1998/11/23,1273.785034,1333.8181967534993
1998/11/24,1278.9160160000001,1334.13642782948
1998/11/25,1263.849976,1335.1835204931867
1998/11/26,1252.817993,1333.9490927997394
1998/11/27,1245.081055,1331.63180125586
1998/11/30,1247.416992,1328.8929775052336
1998/12/1,1234.358032,1327.1077870955355
1998/12/2,1236.9689939999998,1323.818881984596
1998/12/3,1232.505981,1321.5640102152247
1998/12/4,1219.196045,1319.0096825112655
1998/12/7,1209.5410160000001,1315.0461593158568
1998/12/8,1223.258057,1310.5738903536844
1998/12/9,1224.087036,1308.8452524868096
1998/12/10,1204.63501,1307.2568982368714
1998/12/11,1214.209961,1303.1078569608892
1998/12/14,1196.296021,1301.1383597700622
1998/12/15,1194.8439939999998,1296.9424563468142
1998/12/16,1183.0620119999999,1293.4555794828852
1998/12/17,1160.089966,1289.0215421594355
1998/12/18,1155.089966,1282.4056138581564
1998/12/21,1154.4279789999998,1276.6312358460657
1998/12/22,1185.965942,1271.9111047350266
1998/12/23,1172.5119630000002,1272.215897957793
1998/12/24,1168.980957,1270.0095160193168
1998/12/25,1173.912964,1267.5937685424497
1998/12/28,1159.9370119999999,1266.2249244637512
1998/12/29,1142.7290039999998,1263.0903843257925
1998/12/30,1142.7290039999998,1258.3517051920066
1998/12/31,1146.699951,1254.7714068584073
1999/1/4,1125.81897,1252.4495729416103
1999/1/5,1119.964966,1247.6563853328144
1999/1/6,1132.589966,1243.1803310598773
1999/1/7,1137.7290039999998,1241.324904208942
1999/1/8,1168.813965,1240.2619700196854
1999/1/11,1172.8129880000001,1243.3132711739304
1999/1/12,1158.868042,1245.714407351246
1999/1/13,1148.154053,1245.4983607393558
1999/1/14,1148.655029,1244.0231683547256
1999/1/15,1137.30896,1243.1629564834677
1999/1/18,1153.119019,1241.0860700262488
1999/1/19,1158.551025,1241.7687129695387
1999/1/20,1151.374023,1242.918425408074
1999/1/21,1158.499023,1242.7620163672802
1999/1/22,1162.349976,1243.6598163744306
1999/1/25,1148.123047,1244.8433884177552
1999/1/26,1138.209961,1243.837877392798
1999/1/27,1146.493042,1241.9057412192176
1999/1/28,1140.974976,1241.6914737033867
1999/1/29,1134.672974,1240.742912678883
1999/2/1,1120.5310060000002,1239.1789547568226
1999/2/2,1126.404053,1236.1016674441785
1999/2/3,1116.86499,1234.5995615000118
1999/2/4,1103.496948,1232.0419405756872
1999/2/5,1081.442017,1228.2325930877212
1999/2/8,1065.81604,1222.3395077300522
1999/2/9,1090.087036,1215.770233383947
1999/3/1,1097.974976,1213.9231720698012
1999/3/2,1100.918945,1213.060991836946
1999/3/3,1128.735962,1212.34113928884
1999/3/4,1128.953979,1215.169750610803
1999/3/5,1132.357056,1216.902514466411
1999/3/8,1142.107056,1218.529970976548
1999/3/9,1136.94104,1221.0543568723592
1999/3/10,1132.735962,1222.3002162043156
1999/3/11,1149.925049,1222.8724605591556
1999/3/12,1158.702026,1225.8375512607367
1999/3/15,1164.639038,1229.3250716274954
1999/3/16,1166.930054,1232.8709614862446
1999/3/17,1159.095947,1236.034005014261
1999/3/18,1151.990967,1237.616492032514
1999/3/19,1172.921021,1238.1958527715917
1999/3/22,1172.743042,1241.761066641794
1999/3/23,1170.948975,1244.5032403924474
1999/3/24,1169.034058,1246.5055373010496
1999/3/25,1156.8540039999998,1247.9702254483082
1999/3/26,1161.119995,1247.649344654792
1999/3/29,1169.489014,1248.233588444756
1999/3/30,1157.506958,1249.895226311097
1999/3/31,1158.053955,1249.5446876077403
1999/4/1,1168.5040279999998,1249.4770819574844
1999/4/2,1184.4019779999999,1250.865723211482
1999/4/5,1194.4689939999998,1253.9760373605473
1999/4/6,1199.599976,1257.5558814568549
1999/4/7,1201.634033,1260.9101210315919
1999/4/8,1202.4689939999998,1263.7899854613077
1999/4/9,1205.139038,1266.240974181393
1999/4/12,1195.337036,1268.664330132897
1999/4/13,1178.192017,1269.3912990652404
1999/4/14,1181.516968,1267.929071369979
1999/4/16,1166.237061,1267.595661197832
1999/4/19,1159.4730220000001,1265.401127282049
1999/4/20,1171.6030269999999,1262.9756137034094
1999/4/21,1144.064941,1262.798196187872
1999/4/22,1137.161987,1258.7712311840485
1999/4/23,1139.996948,1254.8382932996178
1999/4/26,1112.7910160000001,1252.140388758357
1999/4/27,1091.694946,1246.1904480330036
1999/4/28,1091.088989,1238.7751378044538
1999/4/29,1116.405029,1232.9472354981515
1999/4/30,1120.927002,1231.5565501763413
1999/5/4,1111.927002,1230.4534159867644
1999/5/5,1116.932007,1227.9111444975904
1999/5/6,1128.223999,1226.376730926048
1999/5/7,1120.7380369999998,1226.4413461807997
1999/5/10,1071.927002,1225.200559165268
1999/5/11,1095.4019779999999,1217.6461387661188
1999/5/12,1099.9959720000002,1215.3750280135678
1999/5/13,1088.8630369999998,1214.031545516992
1999/5/14,1063.2769779999999,1211.2842805233606
1999/5/17,1065.557007,1205.6848974279178
1999/5/18,1059.874023,1201.798291747246
1999/5/19,1109.088989,1197.9159634677383
1999/5/20,1147.7070310000001,1201.3403448509434
1999/5/21,1168.719971,1208.440641517662
1999/5/24,1213.654053,1216.074553442868
1999/5/25,1202.88501,1227.6589292413444
1999/5/26,1236.046021,1234.883213762158
1999/5/27,1283.02002,1245.3101361615857
1999/5/28,1277.150024,1259.936009159427
1999/5/31,1279.32605,1270.6462431430318
1999/6/1,1311.5939939999998,1279.969804234237
1999/6/2,1287.93103,1292.3886139376643
1999/6/3,1268.323975,1299.4257337677218
1999/6/4,1285.578979,1303.2624869056235
1999/6/7,1326.517944,1309.6008762216413
1999/6/8,1333.644043,1320.6212028630832
1999/6/9,1348.605957,1330.2877888157773
1999/6/10,1364.344971,1340.1655572560292
1999/6/11,1364.3480220000001,1350.3271482974114
1999/6/14,1427.7070310000001,1358.5983929960548
1999/6/15,1387.592041,1374.1618117640749
1999/6/16,1460.1679689999999,1380.8451943031794
1999/6/17,1501.006958,1396.780444147607
1999/6/18,1498.915039,1414.8581798848047
1999/6/21,1546.407959,1428.916294121062
1999/6/22,1564.44397,1447.1463886165352
1999/6/23,1606.5,1464.4153548557658
1999/6/24,1654.109985,1484.4960499309495
1999/6/25,1593.859009,1507.491926385283
1999/6/28,1693.160034,1518.0102829662299
1999/6/29,1739.2049559999998,1541.6407289171425
1999/6/30,1689.4279789999998,1567.1516036965909
1999/7/1,1560.786987,1581.134958045247
1999/7/2,1561.389038,1576.0706664794898
1999/7/5,1581.81897,1574.6824416096763
1999/7/6,1517.253052,1577.6980094303035
1999/7/7,1568.6519779999999,1571.518111076
1999/7/8,1577.987061,1574.4237913251304
1999/7/9,1584.75,1577.5458399375661
1999/7/12,1559.732056,1580.4612105822541
1999/7/13,1524.821045,1578.8757710216046
1999/7/14,1559.52002,1572.7182060008122
1999/7/15,1549.3360599999999,1572.7775975267089
1999/7/16,1519.740967,1570.8933076811932
1999/7/19,1479.07605,1565.0044618715806
1999/7/20,1574.6030269999999,1554.6907013374612
1999/7/21,1609.811035,1559.867454486035
1999/7/22,1550.72998,1567.6508861864431
1999/7/23,1585.97998,1564.7469471802642
1999/7/26,1602.0310060000002,1567.579873756499
1999/7/27,1590.713013,1571.8389540164085
1999/7/28,1597.198975,1573.516906572145
1999/7/29,1595.859985,1575.9529054616028
1999/7/30,1601.4589839999999,1577.874442765042
1999/8/2,1616.276001,1580.4106766835466
1999/8/3,1626.840942,1584.6588931015615
1999/8/4,1649.128052,1589.5733242141482
1999/8/5,1653.536987,1596.6640440446322
1999/8/6,1646.593018,1602.9438367500138
1999/8/9,1628.8360599999999,1607.2011000607563
1999/8/10,1602.1469730000001,1608.5501469641558
1999/8/11,1583.401001,1606.4939661568194
1999/8/12,1575.641968,1602.8908423993093
1999/8/13,1571.901001,1599.4128988687849
1999/8/16,1560.067993,1596.3123508214921
1999/8/17,1576.405029,1592.16974457381
1999/8/18,1581.928955,1591.0530021920345
1999/8/19,1637.743042,1590.5224908883743
1999/8/20,1628.93396,1597.4344683445534
1999/8/23,1644.999023,1600.9014344738605
1999/8/24,1648.4689939999998,1605.686142986544
1999/8/25,1625.765015,1609.848357143987
1999/8/26,1638.233032,1610.102465055615
1999/8/27,1633.900024,1612.4735837185672
1999/8/30,1619.0389400000001,1613.9635198886258
1999/8/31,1627.115967,1613.3472334430394
1999/9/1,1599.552002,1614.3267204564902
1999/9/2,1611.958008,1611.401545856922
1999/9/3,1587.8869630000002,1611.132523820881
1999/9/6,1560.6779789999998,1607.5573356568138
1999/9/7,1562.779053,1601.103115831399
1999/9/8,1571.5980220000001,1596.4659587323201
1999/9/9,1675.121948,1593.8572739657811
1999/9/10,1659.928955,1605.751250331695
1999/9/13,1670.142944,1611.8032051821547
1999/9/14,1672.891968,1617.749322743636
1999/9/15,1662.802979,1622.8445024452326
1999/9/16,1645.510986,1625.7235341065802
1999/9/17,1648.5579829999997,1626.073334674338
1999/9/20,1633.834961,1627.3537160404676
1999/9/21,1625.588013,1626.6972295945611
1999/9/22,1617.057007,1625.4293019008471
1999/9/23,1604.2030029999999,1623.5191962359168
1999/9/24,1619.32605,1620.3932487533937
1999/9/27,1602.157959,1620.1274063783949
1999/9/28,1591.432007,1617.3222639831724
1999/9/29,1584.953979,1613.5724972866415
1999/9/30,1570.702026,1609.6448209841737
1999/10/8,1534.515015,1604.4202593606426
1999/10/11,1522.47998,1595.1435604167034
1999/10/12,1537.796021,1586.1795281419209
1999/10/13,1507.4219970000001,1581.0131845979495
1999/10/14,1508.725952,1572.1290223803005
1999/10/15,1543.797974,1564.994279385624
1999/10/18,1501.665039,1563.710415533591
1999/10/19,1470.900024,1556.0055290315486
1999/10/20,1485.827026,1545.4837278178059
1999/10/21,1458.530029,1539.1883774851817
1999/10/22,1497.462036,1529.9665655473293
1999/10/25,1468.265991,1527.8308553608283
1999/10/26,1482.666992,1521.3442332752684
1999/10/27,1536.821045,1517.9670925704056
1999/10/28,1514.525024,1522.3161118140822
1999/10/29,1504.5629880000001,1521.8506700024657
1999/11/1,1493.095947,1520.018882417255
1999/11/2,1487.4689939999998,1517.100104992879
1999/11/3,1475.68396,1514.2132755913563
1999/11/4,1464.8280029999999,1510.450373866472
1999/11/5,1465.232056,1506.1309936060825
1999/11/8,1471.375,1502.8741122242113
1999/11/9,1464.030029,1501.0788528878793
1999/11/10,1450.1519779999999,1498.45135512684
1999/11/11,1443.905029,1494.3621596140463
1999/11/12,1450.327026,1490.2644092989246
1999/11/15,1451.536011,1487.8402205790526
1999/11/16,1431.31897,1485.8586482468866
1999/11/17,1462.790039,1481.2874691144348
1999/11/18,1482.452026,1482.0018708150399
1999/11/19,1468.472046,1484.8291194251276
1999/11/22,1464.588013,1484.7284680118967
1999/11/23,1466.43396,1484.1198278940549
1999/11/24,1454.5780029999999,1483.9701188533145
1999/11/25,1444.240967,1482.2715363539107
1999/11/26,1444.512939,1479.6781442428605
1999/11/29,1435.468018,1477.8353035502175
1999/11/30,1434.9730220000001,1475.1638204780934
1999/12/1,1447.115967,1473.0303436249435
1999/12/2,1435.837036,1472.953388257099
1999/12/3,1437.233032,1471.115582027773
1999/12/6,1426.994995,1469.8199080061543
1999/12/7,1428.260986,1467.2985882120622
1999/12/8,1424.8480220000001,1465.4856514744597
1999/12/9,1416.725952,1463.4979847919626
1999/12/10,1428.938965,1460.738076860377
1999/12/13,1417.107056,1460.2051808109352
1999/12/14,1422.262939,1457.9389152561628
1999/12/15,1451.057007,1456.8242547953078
1999/12/16,1434.866943,1459.7553723327765
1999/12/17,1419.551025,1459.4623135733805
1999/12/21,1395.496948,1457.1663711822134
1999/12/22,1387.51001,1452.2424010865
1999/12/23,1369.4610599999999,1447.5559970943737
1999/12/24,1355.366943,1441.489279531932
1999/12/27,1345.352051,1434.8547653547987
1999/12/28,1348.821045,1428.2258912907046
1999/12/29,1356.926025,1423.318538709248
1999/12/30,1366.579956,1420.1881624131302
2000/1/4,1406.3709720000002,1418.555179349277
2000/1/5,1409.682007,1422.206225141067
2000/1/6,1463.942017,1424.7982923933496
2000/1/7,1516.6040039999998,1433.9305438785113
2000/1/10,1545.112061,1447.7466253444795
2000/1/11,1479.7810060000002,1462.0717932551802
2000/1/12,1438.02002,1464.4426847994864
2000/1/13,1424.442017,1461.799250880128
2000/1/14,1408.8480220000001,1459.1631226105455
2000/1/17,1433.329956,1455.8359858608833
2000/1/18,1426.623047,1457.1620180748341
2000/1/19,1440.723999,1457.2564994315187
2000/1/20,1466.8630369999998,1459.2864480352564
2000/1/21,1465.084961,1464.289985363242
2000/1/24,1477.3439939999998,1467.6501678758793
2000/1/25,1476.505981,1471.9225724296803
2000/1/26,1481.116943,1475.1224470314362
2000/1/27,1506.766968,1478.3915928201848
2000/1/28,1534.996948,1484.6236527568246
2000/2/14,1673.9429930000001,1493.36893192252
2000/2/15,1670.670044,1519.2667790214346
2000/2/16,1693.1090089999998,1538.2922051616601
2000/2/17,1640.649048,1556.7634239528388
2000/2/18,1668.0909420000003,1564.895634187098
2000/2/21,1677.135986,1576.7362376712313
2000/2/22,1632.293945,1588.457073922772
2000/2/23,1594.930054,1592.542257006155
2000/2/24,1634.30896,1591.970675080699
2000/2/25,1631.57605,1598.2100028140069
2000/2/28,1704.85498,1603.0721587849341
2000/2/29,1714.578003,1617.346300706528
