,origin,predict
2017/1/13,3112.763916,3161.564167807459
2017/1/16,3103.427979,3157.967062694065
2017/1/17,3108.774902,3153.881198254744
2017/1/18,3113.011963,3151.1960502107595
2017/1/19,3101.299072,3149.441785790008
2017/1/20,3123.138916,3146.2866535614903
2017/1/23,3136.774902,3146.366447912408
2017/1/24,3142.552979,3148.0752886039836
2017/1/25,3149.554932,3150.0833202583945
2017/1/26,3159.166016,3152.5770829901203
2017/2/3,3140.169922,3155.910881886728
2017/2/6,3156.9838870000003,3156.2592818895027
2017/2/7,3153.087891,3158.882350836948
2017/2/8,3166.9819340000004,3160.742301134247
2017/2/9,3183.1789550000003,3164.2567350605423
2017/2/10,3196.6989750000002,3169.4801610908435
2017/2/13,3216.8391110000002,3175.7674108584315
2017/2/14,3217.927979,3183.8405702447626
2017/2/15,3212.986084,3190.9758810360545
2017/2/16,3229.6179200000006,3196.6053952051834
2017/2/17,3202.075928,3203.8790969580286
2017/2/20,3239.960938,3206.7907579981675
2017/2/21,3253.325928,3214.5548846136753
2017/2/22,3261.2180180000005,3223.2011400497695
2017/2/23,3251.375,3231.752157067025
2017/2/24,3253.433105,3237.9729367775863
2017/2/27,3228.659912,3243.8353232649542
2017/2/28,3241.7329100000006,3245.946163959732
2017/3/1,3246.9340820000007,3249.7787154026846
2017/3/2,3230.0280760000005,3254.0020623289765
2017/3/3,3218.3120120000003,3255.548891719827
2017/3/6,3233.8659670000006,3255.4840871995366
2017/3/7,3242.406006,3257.5959877813284
2017/3/8,3240.6650390000004,3260.5488330025855
2017/3/9,3216.746094,3262.77792680565
2017/3/10,3212.76001,3261.523323405827
2017/3/13,3237.0239260000008,3259.9581731108765
2017/3/14,3239.327881,3261.8147923347024
2017/3/15,3241.76001,3263.6159946089347
2017/3/16,3268.9350590000004,3265.3218070518988
2017/3/17,3237.447021,3270.2103087857477
2017/3/20,3250.808105,3270.217122345124
2017/3/21,3261.611084,3271.942921228925
2017/3/22,3245.2199710000004,3274.9099992186584
2017/3/23,3248.5500490000004,3275.3356195610304
2017/3/24,3269.445068,3276.184437646887
2017/3/27,3266.955078,3279.7096218557535
2017/3/28,3252.9479980000006,3282.416876114604
2017/3/29,3241.3139650000003,3282.9219879830334
2017/3/30,3210.237061,3281.941289670138
2017/3/31,3222.513916,3277.2155562991675
2017/4/5,3270.304932,3274.910150631089
2017/4/6,3281.0048829999996,3279.188763094543
2017/4/7,3286.6159670000006,3284.0497077660257
2017/4/10,3269.3930660000005,3288.6868648651043
2017/4/11,3288.966064,3290.3401371946566
2017/4/12,3273.830078,3294.340605023128
2017/4/13,3275.9599610000005,3295.931041193986
2017/4/14,3244.4829100000006,3297.676069456472
2017/4/17,3222.1669920000004,3295.274214070111
2017/4/18,3196.712891,3290.5107790039247
2017/4/19,3170.6870120000003,3283.3474569129758
2017/4/20,3172.100098,3273.9668511885475
2017/4/21,3173.150879,3266.150184459626
2017/4/24,3129.531006,3259.4630544628653
2017/4/25,3134.566895,3247.7452464599355
2017/4/26,3140.8469240000004,3238.075140168231
2017/4/27,3152.1870120000003,3230.3132847391807
2017/4/28,3154.657959,3224.6869502310938
2017/5/2,3143.7119140000004,3219.682012338126
2017/5/3,3135.345947,3213.4903038142365
2017/5/4,3127.368896,3206.738066472324
2017/5/5,3103.0380860000005,3199.662563591113
2017/5/8,3078.613037,3190.2092799000047
2017/5/9,3080.5271000000002,3178.763408622406
2017/5/10,3052.784912,3169.120405155775
2017/5/11,3061.5,3157.0276999747193
2017/5/12,3083.512939,3147.599550747088
2017/5/15,3090.229004,3142.1479461838953
