,origin,predict
2017/6/29,3188.0629879999997,3185.8502674359097
2017/6/30,3192.4270020000004,3191.468728497606
2017/7/3,3195.912109,3196.535291249823
2017/7/4,3182.8039550000003,3200.702918401659
2017/7/5,3207.1340330000003,3194.4718426458185
2017/7/6,3212.4440920000006,3205.4513636372176
2017/7/7,3217.957031,3214.3830315049627
2017/7/10,3212.6320800000003,3221.875675632433
2017/7/11,3203.0380860000005,3221.292737774683
2017/7/12,3197.5439450000003,3213.867472178822
2017/7/13,3218.1630860000005,3205.892579459941
2017/7/14,3222.4169920000004,3214.7175015641233
2017/7/17,3176.465088,3222.6241072768116
2017/7/18,3187.566895,3198.0257952164957
2017/7/19,3230.976074,3190.926369171253
2017/7/20,3244.86499,3216.5694270026015
2017/7/21,3237.9819340000004,3240.8630972525816
2017/7/24,3250.599121,3246.848430633584
2017/7/25,3243.6889650000003,3256.1510589562613
2017/7/26,3247.6750490000004,3254.0835222166306
2017/7/27,3249.781006,3253.7713097847654
2017/7/28,3253.23999,3254.0989662845504
2017/7/31,3273.0280760000005,3256.1324352272995
2017/8/1,3292.637939,3271.761377724655
2017/8/2,3285.056885,3295.3240287597737
2017/8/3,3272.9289550000003,3298.2741485572806
2017/8/4,3262.0810550000006,3286.115276144059
2017/8/7,3279.457031,3270.141264717401
2017/8/8,3281.873047,3274.8123382009308
2017/8/9,3275.5729980000006,3281.312776670782
2017/8/10,3261.7490230000003,3279.9235676201697
2017/8/11,3208.541016,3267.9582002932348
2017/8/14,3237.3601070000004,3228.564016928639
2017/8/15,3251.261963,3226.565070020063
2017/8/16,3246.450928,3238.499397798728
2017/8/17,3268.429932,3243.327637385205
2017/8/18,3268.724121,3262.4861550519136
2017/8/21,3286.906006,3272.106900891248
2017/8/22,3290.226074,3288.9942320991913
2017/8/23,3287.705078,3297.588250246733
2017/8/24,3271.511963,3296.1669417608364
2017/8/25,3331.521973,3280.5118049129906
